# Y-M-D   T H:M:S     ObsNum  ObsGoal      ObgPgm    SourceName                ProjectId                      RestFreq  VLSR      TINT   RA        DEC          AZ    EL
2020-02-28T00:25:30    91660  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   45.6  33.0  720 0
2020-02-28T00:25:58    91661  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172   45.5  33.4  720 0
2020-02-28T00:55:35    91662  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   44.3  38.3  720 0
2020-02-28T00:56:02    91663  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.7  202.469625  47.195172   44.3  38.4  720 0
2020-02-28T01:36:48    91668  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   41.3  45.0  720 0
2020-02-28T01:37:15    91669  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172   41.3  45.1  720 0
2020-02-28T02:06:53    91670  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   37.8  49.5  720 0
2020-02-28T02:07:22    91671  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172   37.7  49.6  720 0
2020-02-28T02:40:48    91674  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   32.2  54.2  720 0
2020-02-28T02:41:16    91675  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172   32.1  54.2  720 0
2020-02-28T03:33:49    91680  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   19.0  59.7  720 0
2020-02-28T03:34:16    91681  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172   18.8  59.7  720 0
2020-02-28T04:05:09    91682  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172    8.7  61.5  720 0
2020-02-28T04:05:36    91683  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172    8.5  61.5  720 0
2020-02-28T06:30:18    91712  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  325.6  52.6  720 0
2020-02-28T06:30:46    91713  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172  325.5  52.5  720 0
2020-02-28T07:00:50    91714  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  321.0  48.2  720 0
2020-02-28T07:01:17    91715  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172  321.0  48.2  720 0
2020-03-06T05:42:31    92214  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  329.5  55.2  720 0
2020-03-06T05:42:58    92215  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463     807.4  202.469625  47.195172  329.4  55.1  720 0
2020-03-06T06:07:54    92218  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  324.7  51.9  720 0
